GS_A_ID,GS_A_SIZE,GS_B_ID,GS_B_SIZE,OLAP,SIMILARITY,PVALUE
WAG002170,98,WAG002186,144,35,.2066942719116632,135.91203678802913
WAG002170,98,WAG003051,160,36,.20319911748483174,136.84305560084206
WAG002170,98,WAG002300,107,34,.2284520825874209,142.43622051400783
WAG002659,303,WAG002805,341,252,.6806223479490807,1166.103589148062
WAG002819,73,WAG003002,114,21,.1587390658524509,81.04451296326134
WAG002819,73,WAG003296,112,35,.2825570776255708,159.27861904948838
WAG002172,66,WAG002628,438,34,.16090264345583494,107.56788641985986
WAG002172,66,WAG002139,55,17,.1925874125874126,77.2730333462017
WAG002172,66,WAG002871,37,11,.15511163337250294,49.473006803961475
WAG002172,66,WAG002158,47,16,.20004386926957668,74.51897550365072
WAG003295,68,WAG002030,120,32,.2582202111613876,141.89197383196586
WAG003295,68,WAG002206,40,27,.40166666666666667,151.64903221647796
WAG003295,68,WAG002581,49,13,.15306122448979592,56.282909578463936
WAG003295,68,WAG002700,80,26,.2469623915139827,120.08302416423409
WAG003295,68,WAG002202,20,8,.16,38.73331703246848
WAG002146,76,WAG002672,54,31,.3653198653198653,162.9676814368721
WAG002146,76,WAG002801,63,18,.17615112160566707,77.33287611880434
WAG002146,76,WAG002409,68,28,.2754563894523327,134.00070481472142
WAG002396,43,WAG002202,20,12,.3082352941176471,70.49917722836929
WAG003051,160,WAG003305,103,30,.16125671902995958,105.41466223503677
WAG003051,160,WAG002596,246,52,.18251412429378533,166.50731732408258
WAG002204,136,WAG002513,366,59,.19331098127738686,184.83757063935286
WAG002204,136,WAG002310,127,62,.3444039644298194,276.1541764241291
WAG002719,41,WAG002122,110,18,.1960755547405098,79.40408869208215
WAG002596,246,WAG002395,34,19,.17000225377507325,73.85335673240036
WAG002596,246,WAG003049,84,31,.15675266762223286,103.3882921325992
WAG002596,246,WAG002683,29,16,.15976567700705632,62.03314298178884
WAG002596,246,WAG002118,55,31,.20457912457912455,120.66116349772959
WAG003005,152,WAG002145,42,21,.1971098265895954,88.94492489109552
WAG003005,152,WAG002128,64,21,.15177884615384618,77.78333622949003
WAG003005,152,WAG002801,63,30,.22496782496782494,125.3529312541864
WAG003005,152,WAG003001,96,27,.15398755656108598,95.19229703645122
WAG002824,184,WAG002241,43,20,.17031794180429166,78.7477672498701
WAG002824,184,WAG002939,33,16,.16065128900949802,64.00399861673691
WAG002824,184,WAG002969,98,30,.1564625850340136,102.61097508587385
WAG002254,46,WAG002152,101,16,.16727514105542649,67.43007916861905
WAG002805,341,WAG002161,83,43,.19390317174208646,147.61739136463984
WAG002805,341,WAG003001,96,54,.22529373368146216,192.08252147691402
WAG002053,107,WAG003265,150,47,.2668980863373387,194.1625109434431
WAG002172,66,WAG003002,114,31,.26038234695952817,139.1140412358883
WAG002172,66,WAG003005,152,32,.2346041055718475,134.60253580645417
WAG002172,66,WAG002193,33,11,.16666666666666669,50.952398476551764
WAG002874,71,WAG002939,33,15,.2257405515832482,74.01525550193874
WAG003186,67,WAG002618,60,21,.2284905660377359,98.58194869666215
WAG003186,67,WAG003080,33,14,.21508104298801975,68.72190740765943
WAG003003,42,WAG003030,44,15,.2404426559356137,77.7422498782464
WAG002146,76,WAG002186,144,39,.27500726955510324,170.14121734008998
WAG002146,76,WAG002170,98,31,.2550055207949945,138.93512420957242
WAG002146,76,WAG002617,61,19,.19110864128924698,83.60167994970755
WAG002146,76,WAG003274,54,24,.27002096436058703,116.65631079906858
WAG002177,93,WAG002172,66,19,.16614718614718615,77.55039044166084
WAG002143,76,WAG002395,34,15,.2145510835913313,72.30445186538685
WAG003051,160,WAG001987,69,23,.15598705501618124,84.35657127341011
WAG002846,115,WAG002838,99,82,.6626262626262627,466.66653417655533
WAG002846,115,WAG002539,51,30,.29411764705882354,143.6710594002492
WAG002846,115,WAG002500,144,41,.22176306342241725,159.79978647815278
WAG002717,135,WAG002781,233,50,.19986023759608665,170.8521636389273
WAG002717,135,WAG002057,127,49,.2612029130161547,200.91570539480426
WAG002717,135,WAG002500,144,57,.28984984984984985,237.48378706719942
WAG002656,164,WAG002938,9,6,.16207584830339325,27.914843111671463
WAG002596,246,WAG002337,54,33,.22109862671660427,132.41468411719404
WAG003005,152,WAG002059,52,19,.15523908523908525,72.86432432431594
WAG002605,91,WAG002700,80,26,.20844827586206896,110.98190626002248
WAG002688,102,WAG003247,263,39,.17217610970768674,129.14956727708295
WAG002688,102,WAG002565,66,22,.1872146118721461,91.45404059045978
WAG002414,90,WAG002096,63,18,.16380952380952382,73.94134202903723
WAG002414,90,WAG002440,21,13,.22993197278911565,66.35607680082285
WAG002120,49,WAG002819,73,14,.16084656084656085,60.70769204509054
WAG002143,76,WAG002158,47,21,.25406758448060074,101.91769400194583
WAG002143,76,WAG002365,49,21,.2472527472527473,100.7858318950964
WAG002143,76,WAG002656,164,26,.16561731431382193,95.50547053851416
WAG002143,76,WAG002611,12,6,.1585365853658537,30.24000580422792
WAG003080,33,WAG002998,74,11,.15833333333333333,49.59858612458845
WAG002939,33,WAG003305,103,21,.2733596837944664,105.13261605890636
WAG002939,33,WAG003123,49,14,.24955436720142604,73.68845355653696
WAG002656,164,WAG002146,76,29,.1862683961087553,110.46750148972092
WAG002656,164,WAG002208,40,21,.1968032786885246,88.64845375710547
WAG002656,164,WAG002672,54,20,.1548821548821549,75.40439326122419
WAG002212,88,WAG002457,42,14,.1632183908045977,60.39906776818936
WAG002212,88,WAG002938,9,7,.2177777777777778,38.63641884134975
WAG002212,88,WAG002205,12,6,.15106382978723407,29.334238204211488
WAG002212,88,WAG002618,60,19,.18116279069767444,80.83886572787839
WAG002212,88,WAG002145,42,19,.22741312741312744,89.23240846150391
WAG002805,341,WAG002840,155,55,.17074098456586936,162.54845995242522
WAG003280,92,WAG002683,29,18,.26394375627720124,91.5650954515642
WAG003280,92,WAG002840,155,37,.22138716356107666,146.22108552147813
