GS_A_ID,GS_A_SIZE,GS_B_ID,GS_B_SIZE,OLAP,SIMILARITY,PVALUE
WAG002801,63,WAG003129,72,18,.18021978021978025,78.43433801726366
WAG002526,10,WAG003233,13,7,.4900000000000001,52.552074604174386
WAG002663,40,WAG002263,33,12,.2301043219076006,63.575451320702776
WAG002263,33,WAG002273,39,10,.18963831867057676,51.031745048241596
WAG002263,33,WAG002929,23,8,.2028985507246377,43.64194668903491
WAG002787,37,WAG003197,18,8,.22505910165484636,45.033200439165675
WAG002625,18,WAG003196,107,11,.1994152046783626,53.98555559469139
WAG003233,13,WAG003235,15,10,.5982905982905983,75.96361396568477
WAG002786,67,WAG002957,17,15,.350383631713555,90.80957289349008
WAG002786,67,WAG003231,18,15,.3380952380952381,89.01928597013887
WAG002212,88,WAG003001,96,26,.19073647871116226,106.44101003786136
WAG002018,25,WAG002906,6,4,.2518518518518519,26.56239574044514
WAG002815,59,WAG002063,103,27,.2515254237288136,123.02465136929425
WAG002815,59,WAG002393,199,37,.2593603803972697,158.57974557677358
WAG003246,19,WAG002564,17,17,.9157894736842108,139.39421340486408
WAG002792,43,WAG003005,152,21,.1942261427425822,88.27848370317417
WAG003262,29,WAG002729,46,11,.21336206896551727,57.04605359133103
WAG002227,47,WAG002186,144,19,.16922315685304307,76.32801181855814
WAG002212,88,WAG003070,21,17,.3097308488612837,94.8895135288389
WAG002936,19,WAG002996,136,12,.1934486566065514,56.42163160808957
WAG002936,19,WAG003213,33,7,.19812865497076027,38.700527032535604
WAG002936,19,WAG002792,43,10,.2591093117408907,56.82710989243003
WAG002621,22,WAG002022,93,10,.1670995670995671,46.554868924789616
WAG002621,22,WAG003070,21,6,.1868725868725869,34.14477063499811
WAG002227,47,WAG003078,36,17,.3005050505050505,93.03786766985529
WAG002994,12,WAG002117,17,8,.4380952380952381,56.878209990128994
WAG002995,12,WAG002844,23,8,.3703703703703704,53.87473099908664
WAG003233,13,WAG002526,10,7,.4900000000000001,52.5520746041909
WAG003233,13,WAG002857,31,12,.4846153846153847,84.3600627232358
WAG002212,88,WAG002666,40,17,.2075225225225225,78.41586004871938
WAG002128,64,WAG003049,84,17,.1569417938931298,69.68278212119901
WAG002128,64,WAG002815,59,17,.18592900543652066,76.47452817120205
WAG002128,64,WAG002879,163,26,.18473258706467666,101.17334853008629
WAG003198,15,WAG002960,31,7,.23692307692307696,41.2404023838302
WAG002929,23,WAG002050,33,8,.2028985507246377,43.641946689016784
WAG002165,8,WAG002860,31,4,.19142857142857145,24.112599963074608
WAG003116,22,WAG002996,136,11,.1598639455782313,48.15234862558725
WAG002445,15,WAG002205,12,5,.26515151515151514,32.89839447917049
WAG002128,64,WAG002193,33,11,.16899224806201552,51.31887610876399
WAG002219,46,WAG002354,40,13,.20746575342465756,65.06588354868899
WAG002903,26,WAG002063,103,14,.2050836120401338,66.60818111165679
WAG002139,55,WAG002171,93,20,.19772727272727272,87.22681682162546
WAG002139,55,WAG003080,33,13,.21745454545454546,65.45123451605285
WAG002395,34,WAG002879,163,24,.2521591295477729,112.22833554287148
WAG002395,34,WAG002063,103,18,.22689075630252103,85.19111414215536
WAG002097,32,WAG003129,72,21,.3336596385542169,114.70333105696841
WAG002097,32,WAG002656,164,20,.2159090909090909,89.48303887683005
WAG003212,430,WAG003078,36,24,.1767722473604827,85.66355321483435
WAG002732,107,WAG002948,13,7,.1572498298162015,33.37177580999539
WAG002393,199,WAG002155,75,27,.15944939271255062,95.27112802045349
WAG003066,194,WAG003002,114,36,.16904024767801856,122.6182578964839
WAG002131,333,WAG002132,155,109,.3707243169631458,437.0100877849405
WAG002414,90,WAG002278,84,23,.17661620939766634,93.59892710064241
WAG002133,485,WAG002132,155,145,.4214402085369827,610.7371213512815
WAG003063,95,WAG002732,107,23,.15121434872096445,85.89366776665202
WAG002063,103,WAG002903,26,14,.2050836120401338,66.60818111168723
WAG002063,103,WAG003224,153,30,.16444711744995275,106.88484128294137
WAG003031,274,WAG002145,42,23,.17232244433609625,86.03492514085657
WAG002134,398,WAG002133,485,359,.7284936131036863,1601.675144085801
WAG002173,94,WAG003262,29,15,.21455938697318008,71.99008579166511
WAG002996,136,WAG002936,19,12,.1934486566065514,56.42163160807024
WAG002596,246,WAG002227,47,33,.2419639934533552,139.7007973417684
WAG002596,246,WAG003283,92,35,.16849619744583155,118.08834701624062
WAG002340,126,WAG002771,109,109,.8920634920634921,688.2105129596105
WAG002628,438,WAG002186,144,55,.15988034998945816,152.8985585059529
WAG003212,430,WAG002354,40,24,.16304932735426012,81.79350155152359
WAG002970,122,WAG002805,341,48,.17121864507209167,147.67756218212298
WAG002393,199,WAG002970,122,42,.1892825665432752,146.58519989518925
WAG002665,53,WAG001976,22,8,.16824966078697426,39.920280688051264
WAG003269,59,WAG002633,60,59,.9866666666666668,429.2435862827697
WAG002186,144,WAG002628,438,55,.15988034998945816,152.89855850596814
WAG002186,144,WAG002815,59,20,.15522830415856256,76.01693937985141
WAG002186,144,WAG002128,64,21,.15546457219251336,78.99364833455797
WAG002633,60,WAG002345,97,27,.2561538461538462,124.30133908069377
WAG002536,35,WAG002946,17,6,.1749360613810742,32.54529404854097
WAG002996,136,WAG002317,31,13,.15140343527440306,53.795291529858865
WAG002996,136,WAG002118,55,20,.16629452418926102,78.93455197374145
WAG002596,246,WAG003005,152,56,.20467836257309946,188.14063974715415
WAG003005,152,WAG002186,144,36,.16076923076923078,122.61879279396508
WAG003005,152,WAG002202,20,11,.16465838509316771,48.31618732967586
WAG003005,152,WAG002395,34,16,.16941176470588235,66.55975472027725
WAG003005,152,WAG003049,84,34,.2156058462989156,135.1603046365201
WAG002384,157,WAG002484,93,44,.26549744232174555,183.31735999196403
WAG003002,114,WAG002193,33,20,.24719637318062515,96.37383053716052
WAG003001,96,WAG003295,68,23,.19814351272423866,97.63371676023712
WAG003001,96,WAG002801,63,22,.19830842312594135,94.1799685255624
WAG003001,96,WAG002666,40,15,.17417355371900828,65.42316805506556
WAG003001,96,WAG003212,430,46,.1725,141.8995923028269
WAG003001,96,WAG002805,341,54,.22529373368146216,192.08252147694816
WAG003015,47,WAG003020,14,8,.2350404312668464,45.613289676992686
WAG003248,69,WAG003283,92,25,.21952259164535384,109.58764168160984
WAG002666,40,WAG003070,21,7,.1703703703703704,36.39511885748718
WAG002484,93,WAG002121,90,52,.4331128074639525,268.10699339273236
WAG002484,93,WAG002384,157,44,.26549744232174555,183.3173599919279
WAG002484,93,WAG002656,164,36,.20773609692015765,138.18098570495314
WAG003049,84,WAG003212,430,47,.1924186805343122,155.03594788515738
WAG002536,35,WAG002936,19,7,.19283314669652854,38.24753939152808
WAG002536,35,WAG002729,46,10,.16981891348088532,48.49540690119557
WAG002267,81,WAG002659,303,38,.18168843217012776,130.02075667617123
WAG002659,303,WAG003212,430,128,.253744647191992,383.505304820927
WAG002298,120,WAG003053,17,14,.2557627929220469,73.87307229294065
WAG003005,152,WAG002171,93,36,.21521839790091066,141.2551808385948
WAG003005,152,WAG002354,40,16,.15272727272727274,63.23237471774279
WAG003005,152,WAG002607,19,12,.1866931479642503,55.03611824041909
WAG002278,84,WAG002263,33,12,.16415584415584414,53.68697487706179
WAG002805,341,WAG002801,63,37,.19811426841399596,133.54535604256876
WAG002805,341,WAG002659,303,252,.6806223479490807,1166.1035891480406
WAG003002,114,WAG003005,152,35,.18261562998405104,127.4350979749288
WAG003002,114,WAG002208,40,24,.2676923076923077,115.4645677441564
WAG002804,31,WAG003057,38,19,.4265806451612904,116.59942261474072
WAG002226,41,WAG002930,26,8,.170013037809648,40.560412930863656
WAG002444,28,WAG002450,19,14,.48676236044657106,94.5648412209225
WAG003071,31,WAG002996,136,26,.3152596659803249,135.09300963848773
WAG003071,31,WAG003005,152,19,.21526357199055865,85.98644704157344
WAG002484,93,WAG002097,32,23,.3241421568627452,122.46653064895338
WAG002461,35,WAG002104,101,15,.184887839433294,67.10928655588339
WAG003130,15,WAG002534,27,6,.21333333333333335,35.14867235950905
WAG002554,132,WAG003270,56,21,.1755988023952096,84.34692371822871
WAG002841,89,WAG002369,30,15,.2153846153846154,72.18721863249907
WAG003283,92,WAG002145,42,16,.18466505246166265,70.82170199592646
WAG003283,92,WAG002596,246,35,.16849619744583155,118.08834701619594
WAG002339,45,WAG002753,41,19,.3195485984710594,104.91722666375178
WAG002789,56,WAG003076,33,18,.3119078104993598,98.38548573337135
WAG002440,21,WAG002096,63,12,.2476190476190477,64.49899048732902
WAG002440,21,WAG002450,19,12,.4691729323308271,82.27277683893756
WAG002607,19,WAG002396,43,11,.2883384932920537,64.00305290234057
WAG003078,36,WAG002139,55,10,.15432098765432098,46.20700313869054
WAG003078,36,WAG002596,246,24,.20775193798449612,99.50898186431549
WAG002813,23,WAG003277,37,11,.2752440106477374,63.02666948735185
WAG002813,23,WAG003080,33,8,.2028985507246377,43.641946689016784
WAG003266,23,WAG002666,40,8,.18592885375494075,41.93310167642835
WAG002534,27,WAG002236,10,7,.32666666666666666,46.30425370230464
WAG003153,56,WAG002278,84,56,.7333333333333334,363.02272300847113
WAG002557,25,WAG003054,60,12,.2275068493150685,62.27600712786835
WAG002171,93,WAG002949,33,14,.18484848484848487,63.71493118913207
WAG002171,93,WAG002596,246,34,.16229860743874494,113.03637965027407
WAG002171,93,WAG003005,152,36,.21521839790091066,141.25518083859163
WAG002753,41,WAG002284,67,41,.6895522388059703,272.90372503286926
WAG002328,49,WAG002282,48,12,.16294117647058826,55.51239279483115
WAG003057,38,WAG002804,31,19,.4265806451612904,116.59942261467909
WAG003204,26,WAG003202,25,15,.4533333333333333,98.3391788556633
WAG002629,7,WAG003150,23,4,.23736263736263735,26.072197237519077
WAG002215,26,WAG003049,84,10,.15692307692307694,45.52803558348569
WAG002022,93,WAG003173,28,12,.1737876802096986,54.832549495140775
WAG002205,12,WAG002607,19,4,.1851851851851852,24.250948768429108
WAG002205,12,WAG002171,93,8,.19931271477663232,41.6387821373354
WAG002532,50,WAG003078,36,14,.2333333333333333,71.82961655514197
WAG002949,33,WAG002145,42,12,.22510822510822515,62.893892480509244
WAG002949,33,WAG003283,92,15,.2,69.75455361336094
WAG003040,33,WAG002284,67,15,.2320855614973262,74.98604309162215
WAG003192,11,WAG002650,7,3,.24571428571428575,20.967437604078512
WAG003080,33,WAG003116,22,8,.20889748549323015,44.068682919531234
WAG002312,35,WAG002317,31,26,.687741935483871,180.9185094318106
WAG002118,55,WAG002208,40,13,.19182926829268293,62.415312833973076
WAG002118,55,WAG002171,93,26,.2650372578241431,122.56002567594929
WAG003270,56,WAG002369,30,9,.1535064935064935,42.259597381107255
WAG003270,56,WAG002557,25,11,.21371428571428572,56.68280075825788
WAG002273,39,WAG002929,23,10,.2408026755852843,55.416812742433656
WAG002683,29,WAG002656,164,14,.1591215565401657,57.69245047714935
WAG002202,20,WAG002022,93,19,.3517021276595745,111.84779795550604
WAG002202,20,WAG002212,88,17,.3194505494505495,96.54573030196207
WAG002208,40,WAG002118,55,13,.19182926829268293,62.415312833971264
WAG002208,40,WAG002554,132,15,.15143312101910827,60.34481162262136
WAG002208,40,WAG002841,89,16,.19327433628318585,72.36979150644595
WAG003224,153,WAG002815,59,27,.20828218048557032,111.08070912184886
WAG002564,17,WAG003246,19,17,.9157894736842108,139.39421340485572
WAG002118,55,WAG002625,18,8,.1873504273504273,41.58714947161784
WAG002145,42,WAG003080,33,10,.1836829836829837,50.19449882316701
WAG003070,21,WAG003001,96,9,.1523809523809524,41.00392173966236
WAG003234,22,WAG002526,10,7,.3640000000000001,47.95384133813362
WAG002208,40,WAG003005,152,20,.1930232558139535,84.71411585614294
WAG002208,40,WAG002227,47,11,.17078947368421055,52.58914470070857
WAG002354,40,WAG002219,46,13,.20746575342465756,65.06588354870111
WAG002450,19,WAG002096,63,16,.3623604465709729,96.48931387358743
WAG002450,19,WAG002440,21,12,.4691729323308271,82.27277683890527
WAG002857,31,WAG002526,10,10,.4580645161290322,72.01887634452109
WAG002857,31,WAG003234,22,15,.4521531100478469,97.63143867999752
WAG003232,16,WAG003231,18,10,.4583333333333333,69.95328062657471
WAG002801,63,WAG003005,152,30,.22496782496782494,125.35293125419571
WAG002526,10,WAG003232,16,7,.4347368421052632,50.65520928459733
WAG002526,10,WAG003234,22,7,.3640000000000001,47.95384133813928
WAG002090,12,WAG002903,26,6,.2500000000000001,37.087514505081
WAG003224,153,WAG002063,103,30,.16444711744995275,106.8848412828928
WAG002354,40,WAG003276,105,14,.1554961832061069,58.57284244843584
WAG002815,59,WAG002354,40,13,.18593023255813956,61.39268376091962
WAG002263,33,WAG002278,84,12,.16415584415584414,53.68697487700899
WAG002844,23,WAG002994,12,8,.3703703703703704,53.874730999081535
WAG003231,18,WAG003232,16,10,.4583333333333333,69.95328062659739
WAG003173,28,WAG002022,93,12,.1737876802096986,54.8325494951739
WAG002928,60,WAG002804,31,14,.2357771260997068,71.57317205489085
WAG002928,60,WAG003265,150,29,.2248434622467772,122.12756067614737
WAG002625,18,WAG002996,136,10,.16666666666666666,45.2854210876734
WAG002625,18,WAG002936,19,7,.2644444444444445,43.59505938542762
WAG002786,67,WAG002857,31,17,.27757865392274,89.40568014848989
WAG002815,59,WAG003002,114,26,.2296321918597948,114.10909160807398
WAG002936,19,WAG002367,24,5,.15789473684210525,27.567345566019554
WAG002212,88,WAG002202,20,17,.3194505494505495,96.5457303019852
WAG002815,59,WAG003049,84,29,.3018138566755873,142.14369587215177
WAG002815,59,WAG002554,132,19,.15277887268427276,72.82865795465057
WAG002815,59,WAG002128,64,17,.18592900543652066,76.47452817115119
WAG002815,59,WAG002656,164,30,.2260472468604549,125.50763763794964
WAG003231,18,WAG002786,67,15,.3380952380952381,89.01928597009884
WAG002936,19,WAG002536,35,7,.19283314669652854,38.247539391555904
WAG002227,47,WAG003080,33,10,.17489177489177488,48.93956832873801
WAG002227,47,WAG002312,35,12,.20571428571428574,60.490775681165644
WAG002227,47,WAG002317,31,13,.2438709677419355,68.80051658866645
WAG002212,88,WAG003173,28,12,.17802197802197806,55.53753623292658
WAG002128,64,WAG002104,101,19,.1634845890410959,76.50643165932901
WAG002128,64,WAG002395,34,13,.19882352941176476,62.77289947038531
WAG003116,22,WAG003283,92,9,.1503896103896104,40.87921478984993
WAG002445,15,WAG002607,19,5,.20459770114942527,30.21376559189386
WAG002445,15,WAG002212,88,9,.19659574468085106,45.88012944241302
WAG002050,33,WAG002263,33,12,.25050505050505056,66.3278565934574
WAG002050,33,WAG002663,40,18,.37090909090909097,105.91382722066805
WAG002903,26,WAG002090,12,6,.2500000000000001,37.08751450505294
WAG002117,17,WAG002844,23,8,.29411764705882354,49.982768265804204
WAG002139,55,WAG003078,36,10,.15432098765432098,46.20700313869286
WAG002283,12,WAG003015,47,6,.19056603773584907,33.24865663656931
WAG002115,17,WAG003098,25,8,.2823529411764706,49.192150187719534
WAG002395,34,WAG002815,59,24,.4194373401534528,140.27012665154126
WAG002395,34,WAG002186,144,16,.17312999273783586,67.46792624247269
WAG002097,32,WAG002928,60,21,.3678697183098592,119.27197390479046
